RT_Dump_BackBuffer.ppm: diff=86.6% max=254 avg=12.58
RT_Dump_Bloom.ppm: diff=0.6% max=13 avg=0.02
RT_Dump_Deferred.ppm: diff=63.1% max=255 avg=3.32
RT_Dump_Extra16F.ppm: diff=65.5% max=255 avg=3.69
RT_Dump_GBuffer_Color0.ppm: diff=24.4% max=188 avg=2.72
RT_Dump_GBuffer_Depth.ppm: diff=0.0% max=1 avg=0.0
RT_Dump_GBuffer_Normals.ppm: diff=19.2% max=204 avg=1.28
RT_Dump_GodRays.ppm: diff=9.5% max=16 avg=0.36
RT_Dump_HDR_Final.ppm: diff=86.2% max=255 avg=12.26
RT_Dump_ShadowAccum.ppm: diff=94.1% max=193 avg=17.73
RT_Dump_ShadowMap_Depth.ppm: diff=13.0% max=255 avg=33.2
